"mz","rt","t.score","p.value"
256.2371,1297.95,-2.8532,0.0085
256.90366,1623,-4.8213,2e-04
256.9038,949.66,2.8397,0.0093
256.99086,97.28,-0.5162,0.6112
257.17606,565.08,2.6665,0.0254
257.24007,1322.9,-1.7529,0.0919
258.05659,489.14,-1.1721,0.2527
258.04424,368.35,-3.5243,0.0025
258.84887,87.16,1.1412,0.2692
258.91639,1625.5,-3.0153,0.0061
258.86765,86.73,-1.476,0.1539
259.01101,467.38,-0.6496,0.5233
259.02325,73.64,-4.7442,1e-04
259.51223,467.48,-0.7419,0.4652
260.02395,352.15,-2.4193,0.0249
260.01082,467.7,-0.4047,0.6893
260.86246,67.12,-3.4069,0.0026
260.85348,1677.73,4.9268,6e-04
260.85358,1662.28,4.1943,0.0012
260.85535,1652.71,4.2624,7e-04
260.85161,1622.78,2.7191,0.0192
260.8541,1637.43,4.6819,3e-04
260.97923,85.66,-2.2719,0.032
261.04177,370.61,-1.504,0.1476
261.02701,351.96,-2.373,0.028
261.01577,585.55,10,0
262.90064,83.96,-2.1076,0.0508
263.10377,367.65,-2.3876,0.0276
263.16606,979.67,-3.1088,0.0046
263.62909,565.51,-3.4613,0.0025
263.62912,514.26,-1.676,0.1111
264.02827,184.27,-3.1106,0.0074
264.13066,571.35,-3.3722,0.0032
264.13061,562.77,-3.8247,9e-04
264.10764,364.42,-2.5547,0.0188
264.16853,979.53,-2.1215,0.0436
264.30021,836.37,-1.375,0.1858
264.63005,565.08,-3.1958,0.0049
264.93513,1622.78,-1.1672,0.2605
264.93527,1646.32,3.5703,0.0052
264.93528,1673.87,2.6343,0.0218
264.93542,1657.8,15.0281,0
264.89829,83.93,-1.3922,0.1872
265.14861,836.81,-1.2203,0.2357
265.14827,1606.9,8.1283,0
265.14877,820.31,-2.3379,0.0314
266.01876,478.78,-1.2292,0.2307
266.08962,344.7,1.9168,0.0858
266.15192,836.53,-1.4174,0.1711
266.15182,1606.67,4.3243,4e-04
266.15173,819.95,-2.1028,0.0501
266.52009,478.78,-1.1127,0.2762
266.80446,80.85,-2.3508,0.0339
266.7999,1621.3,1.7302,0.117
267.07404,330.21,-0.63,0.5371
267.01842,478.76,-0.8345,0.4117
266.89508,86.74,-1.3358,0.1951
267.14623,836.97,-1.2704,0.2179
267.12439,562.35,-3.159,0.0057
267.12418,508.55,2.5886,0.0276
267.12404,550.12,-3.6949,0.0017
267.15599,870.76,2.0128,0.0726
267.23393,1286.09,-4.2508,3e-04
267.74852,1616.04,10,0
267.96916,341.32,-2.2756,0.0342
268.07697,330.51,-0.4861,0.6334
268.1493,836.53,-2.6185,0.0171
268.11757,184.76,-2.843,0.0086
268.12765,510.57,2.5652,0.0282
268.2372,1286.21,-3.6074,0.0016
268.80134,80.86,-2.1273,0.0536
268.73974,1615.17,4.4865,0.0015
268.89587,89.6,-0.0302,0.9764
269.061,343.3,-2.453,0.0249
269.07848,588.36,-0.8992,0.3805
269.08825,86.26,-1.9187,0.0668
269.24913,1372.92,-3.6866,0.0012
269.24906,1386.22,-1.3266,0.2058
270.0917,86.29,-2.064,0.0497
270.25259,1372.92,-2.4329,0.028
270.25231,1387.9,-1.9266,0.0715
270.79828,80.84,-2.1019,0.0562
270.88036,1622.83,0.9316,0.3601
270.88312,1645.59,-0.3648,0.719
270.88214,1674.56,3.5234,0.0025
270.88234,1661.79,2.375,0.0401
270.88919,66.84,-2.4001,0.0297
270.96809,461.79,1.4856,0.1552
271.07055,370.93,-0.7443,0.4674
271.09061,87.84,0.1667,0.8695
272.07341,371.67,-0.3454,0.7344
272.7954,80.84,-2.4222,0.0303
272.82739,610.83,-8.8998,0
272.82737,592.66,-9.4823,0
272.82733,628.24,-8.3202,0
272.82718,580.2,-10.3537,0
272.87792,1119.92,1.0537,0.3042
272.87787,1144.53,0.8985,0.3772
272.8778,1165.01,0.5303,0.601
272.87837,1184.28,1.5646,0.1343
272.99082,84.67,-3.8858,0.0011
274.10485,75.54,-1.8098,0.0874
274.7931,81.52,-2.6043,0.0189
274.86773,72.56,-3.4407,0.0023
274.98848,81.66,-5.3678,0
276.00098,387.2,-3.0168,0.0078
276.83331,84.84,-1.7915,0.0927
276.83464,1637.43,1.816,0.1025
276.82976,1622.52,0.2441,0.8118
276.83569,1654.23,4.4478,2e-04
276.83466,1676.86,3.7312,0.0034
276.83505,1668.38,5.2697,1e-04
