id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F16377	154.9969	413.59	414.93	415.73	4545	5427375	0.77	0.81	3	12	251723	53930	62976	217987	108434	0	205096	110482	62119	298573	0	195460	110137	185068	0
F16378	154.9969	421.08	418.94	423.76	4545	10613496	0.78	0.93	4	14	959325	576133	210966	1060200	600711	575672	1130372	625141	852579	1036492	0	1063515	338901	1021756	775501
F16381	154.9969	431.24	429.37	434.45	4545	8327230	0.77	0.83	3	14	626755	525624	239932	1299834	653911	441058	767196	565660	228349	557576	0	459573	600671	740142	848059
F16382	154.9969	444.08	442.47	445.68	4545	7809927	0.78	0.85	3	14	500580	560627	314761	1103642	584408	616716	1081203	971868	408444	480381	0	284288	123633	639615	192251
F16384	154.9969	449.96	448.63	451.3	4545	5700520	0.77	0.87	3	14	686375	336384	265211	737364	305162	303930	763061	284628	219883	287351	0	207892	426637	427044	232900
F16385	154.9969	454.51	451.3	457.72	4545	13696853	0.78	0.88	3	14	1752106	1065948	626003	1559106	822702	498342	1692609	1009977	409155	946280	0	940489	912669	782372	699597
F16390	154.9969	602.93	600.25	606.14	4545	4145522	0.76	0.93	3	14	348969	554544	105938	700821	114530	173705	575090	193987	270984	273779	0	195676	136858	59765	506915
F16391	154.9969	612.82	609.61	614.96	4545	4688176	0.76	0.79	3	14	569862	409012	305526	283649	222416	313545	614767	238711	270504	150440	0	280984	227328	362029	548050
F16392	154.9969	616.3	614.96	617.37	4545	2613015	0.77	0.82	3	14	181330	383322	231952	409890	118922	115057	167756	83126	96282	155967	0	240684	82478	88790	316351
F16397	211.0942	38.82	36.68	41.5	6500	4970053	1	0.98	55	10	674871	0	0	317987	0	0	596106	580047	690704	340089	625753	381702	0	395595	493914
F16398	211.0942	132.95	129.74	134.56	6500	2101812	0.88	0.89	13	12	277647	130210	0	113537	30006	0	186387	366712	113583	98367	159210	291498	0	245869	92971
F16399	211.0942	139.37	136.96	142.58	6500	3137681	0.85	0.95	16	11	105572	94364	0	256466	0	0	524262	312399	276043	177796	240218	512929	0	507121	207557
